,Symbol,Sector,MarketCap,Industry,ETF,Name
1030,BCOM,Consumer Services,565110000.0,Telecommunications Equipment,N,B Communications Ltd. - Ordinary Shares
1031,BCOR,Finance,1111636359.0,Finance: Consumer Services,N,"Blucora, Inc."
1032,BCOV,Technology,237233844.3,EDP Services,N,Brightcove Inc.
1033,BCPC,Basic Industries,2607065146.02,Major Chemicals,N,Balchem Corporation
1034,BCRH,Finance,111267608.3,Property-Casualty Insurers,N,Blue Capital Reinsurance Holdings Ltd. Common Shares
1035,BCRX,Health Care,557954994.87,Biotechnology: Biological Products (No Diagnostic Substances),N,"BioCryst Pharmaceuticals, Inc. - Common Stock"
1036,BCS,Finance,47129349320.3,Commercial Banks,N,Barclays PLC
1039,BCT,,,Technology Hardware & Equipment,N,BLUECHIIP LIMITED
1040,BCTF,Finance,52003222.2,Savings Institutions,N,"Bancorp 34, Inc."
1041,BCV,n/a,117124744.01,n/a,N,Bancroft Fund Limited
1044,BCX,n/a,1010774275.02,n/a,N,BlackRock Resources Common Shares of Beneficial Interest
1046,BDA,,,Retailing,N,BOD AUSTRALIA LIMITED
1047,BDC,Basic Industries,3580141691.88,Telecommunications Equipment,N,Belden Inc Common Stock
1049,BDCL,,,,N,"2xLeveraged Long Exchange Traded Access Securities (E-TRACS) Linked to the Wells Fargo Business Development Company Index due May 24, 2041"
1050,BDCS,,,,N,"UBS AG Exchange Traded Access Securities (E TRACS) Linked to the Wells Fargo Business Development Company Index due April 26, 2041"
1051,BDCZ,,,,N,"ETRACS Wells Fargo Business Development Company Index ETN Series B due April 26, 2041"
1053,BDD,,,,N,"DB Base Metals Double Long Exchange Traded Notes due June 1, 2038"
1054,BDGE,Finance,729268964.0,Major Banks,N,"Bridge Bancorp, Inc."
1055,BDI,,,Materials,N,BLINA MINERALS NL
1056,BDJ,n/a,1776026575.35,n/a,N,Blackrock Enhanced Equity Dividend Trust
1057,BDL,Consumer Services,42758174.235,Restaurants,N,"Flanigan&#39;s Enterprises, Inc."
1058,BDN,Consumer Services,3056818015.16,Real Estate Investment Trusts,N,Brandywine Realty Trust
1059,BDR,Technology,5856655.2185,Radio And Television Broadcasting And Communications Equipment,N,BEADELL RESOURCES LIMITED
1060,BDSI,Health Care,145296933.6,Major Pharmaceuticals,N,"BioDelivery Sciences International, Inc."
1061,BDX,Health Care,53078084074.22,Medical/Dental Instruments,N,"Becton, Dickinson and Company"
1062,BDXA,Health Care,0.0,Medical/Dental Instruments,N,"Becton, Dickinson and Company Depositary Shares, each Representing a 1/20th Interest in a Share of 6.125% Mandatory Convertible Preferred Stock, Series A, $1.00 par value"
1063,BEAT,Health Care,1082431141.2,Medical Specialities,N,"BioTelemetry, Inc. - Common Stock"
1064,BECN,Consumer Services,4315340508.78,RETAIL: Building Materials,N,"Beacon Roofing Supply, Inc."
1065,BEDU,Consumer Services,2506805000.0,Other Consumer Services,N,"Bright Scholar Education Holdings Limited American Depositary Shares, each  representing one Class A Ordinary Share"
1066,BEE,,,"Food, Beverage & Tobacco",N,BROO LTD
1067,BEF,,,,Y,ETFS Bloomberg Energy Commodity Longer Dated Strategy K-1 Free ETF
1068,BEL,Consumer Services,1552952000.4,Diversified Financials,N,BENTLEY CAPITAL LIMITED
1071,BEM,,,Materials,N,BLACKEARTH MINERALS NL
1072,BEMO,,,,Y,Aptus Behavioral Momentum ETF
1073,BEN,Finance,24825734566.7,Banks,N,"Franklin Resources, Inc."
1074,BEP,Public Utilities,6059245045.99,Electric Utilities: Central,N,Brookfield Renewable Partners L.P.
1075,BERN,,,,Y,Bernstein U.S. Research Fund
1076,BERY,Consumer Non-Durables,7722450000.0,Plastic Products,N,"Berry Global Group, Inc."
1077,BETR,Consumer Non-Durables,927785487.72,Packaged Foods,N,"Amplify Snack Brands, Inc. Common Stock"
1078,BF.A,n/a,0.0,n/a,N,Brown Forman Corporation
1079,BF.B,n/a,0.0,n/a,N,Brown Forman Corporation
1080,BFAM,Miscellaneous,5675274987.2,Other Consumer Services,N,Bright Horizons Family Solutions Inc. Common Stock
1081,BFC,,,"Food, Beverage & Tobacco",N,BESTON GLOBAL FOOD COMPANY LIMITED
1082,BFG,,,Diversified Financials,N,BELL FINANCIAL GROUP LIMITED
1083,BFIN,Finance,278502596.89,Savings Institutions,N,BankFinancial Corporation
1084,BFIT,n/a,0.0,n/a,Y,Global X Health & Wellness Thematic ETF
1085,BFK,n/a,625637320.92,n/a,N,BlackRock Municipal Income Trust
1086,BFO,n/a,79760915.52,n/a,N,Blackrock Florida Municipal 2020 Term Trust
1087,BFOR,,,,Y,Barron's 400
1088,BFR,Finance,5407742395.92,Commercial Banks,N,BBVA Banco Frances S.A. Common Stock
1089,BFS,Consumer Services,1255746000.0,Real Estate Investment Trusts,N,"Saul Centers, Inc. Common Stock"
1092,BFY,n/a,73568340.3,n/a,N,BlackRock New York Municipal Income Trust II
1093,BFZ,n/a,437707582.2,n/a,N,BlackRock California Municipal Income Trust
1094,BG,Consumer Non-Durables,9907034490.7,Packaged Foods,N,Bunge Limited
1095,BGA,,,"Food, Beverage & Tobacco",N,BEGA CHEESE LIMITED
1096,BGB,n/a,704803947.96,n/a,N,Blackstone / GSO Strategic Credit Fund Common Shares
1097,BGC,Basic Industries,1481737934.4,Telecommunications Equipment,N,General Cable Corporation Common Stock
1098,BGCA,Finance,0.0,Investment Bankers/Brokers/Service,N,"BGC Partners, Inc."
1099,BGCP,Finance,4286644528.32,Investment Bankers/Brokers/Service,N,"BGC Partners, Inc."
1100,BGFV,Consumer Services,136060580.05,Other Specialty Stores,N,Big 5 Sporting Goods Corporation - Common Stock
1101,BGG,Energy,1152570904.04,Industrial Machinery/Components,N,Briggs & Stratton Corporation
1102,BGH,n/a,385311279.29,Materials,N,BLIGH RESOURCES LIMITED
1103,BGI,Consumer Services,24247189.35,Consumer Specialties,N,Birks Group Inc.
1104,BGIO,n/a,207446860.53,n/a,N,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial Interest
1105,BGNE,Health Care,2661397875.84,Major Pharmaceuticals,N,"BeiGene, Ltd. - American Depositary Shares"
1106,BGP,,,Not Applic,N,BRISCOE GROUP AUSTRALASIA LIMITED
1107,BGR,n/a,451853688.9,Diversified Financials,N,BRONSON GROUP LIMITED
1108,BGS,Consumer Non-Durables,2174430089.1,Materials,N,"B&G Foods, Inc. B&G Foods, Inc. Common Stock"
1109,BGSF,Technology,143478578.88,Professional Services,N,BG Staffing Inc Common Stock
1110,BGT,n/a,327289245.78,Materials,N,BIO-GENE TECHNOLOGY LTD
1111,BGX,n/a,204504776.0,n/a,N,Blackstone GSO Long Short Credit Income Fund Common Shares
1112,BGY,n/a,738261845.09,n/a,N,Blackrock Enhanced International Dividend Trust
1113,BH,Consumer Services,867115539.94,Restaurants,N,Biglari Holdings Inc.
1114,BHAC,Finance,29232420.0,Business Services,N,Barington/Hilco Acquisition Corp. - Common Stock
1118,BHB,Finance,433694191.7,Major Banks,N,"Bar Harbor Bankshares, Inc."
1119,BHBK,Finance,570070137.5,Major Banks,N,"Blue Hills Bancorp, Inc. - Common Stock"
1120,BHD,,,Not Applic,N,BENJAMIN HORNIGOLD LIMITED
1121,BHE,Technology,1538928490.35,Electrical Products,N,"Benchmark Electronics, Inc."
1122,BHF,Finance,7708597102.16,Life Insurance,N,"Brighthouse Financial, Inc. - Common Stock"
1123,BHGE,Energy,41562458153.45,Metal Fabrications,N,"Baker Hughes, a GE company Class A Common Stock"
1124,BHK,n/a,746462143.84,n/a,N,Blackrock Core Bond Trust
1125,BHL,,,Real Estate,N,BOYUAN HOLDINGS LIMITED
1126,BHLB,Finance,1760898786.9,Banks,N,"Berkshire Hills Bancorp, Inc. Common Stock"
1127,BHP,Basic Industries,131599927237.44,Materials,N,BHP Billiton Limited
1128,BHV,n/a,26269111.59,n/a,N,BlackRock Virginia Municipal Bond Trust
1129,BHVN,Health Care,969953240.89,Major Pharmaceuticals,N,Biohaven Pharmaceutical Holding Company Ltd.
1130,BIB,n/a,456750000.0,n/a,Y,ProShares Ultra Nasdaq Biotechnology
1131,BIBL,,,,Y,Inspire 100 ETF
1132,BICK,n/a,245475504.5988,n/a,Y,First Trust BICK Index Fund
1133,BID,Miscellaneous,2749594416.95,Software & Services,N,Sotheby's Common Stock
1134,BIDU,Technology,71725347945.8,"Computer Software: Programming, Data Processing",N,"Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share"
1135,BIF,n/a,1228601140.86,n/a,N,"USLIFE Income Fund, Inc."
1136,BIG,Consumer Services,2472367237.3,Software & Services,N,"Big Lots, Inc."
1137,BIIB,Health Care,72932050918.32,Biotechnology: Biological Products (No Diagnostic Substances),N,Biogen Inc. - Common Stock
1138,BIL,,,,Y,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF
1139,BIN,,,Commercial & Professional Services,N,BINGO INDUSTRIES LIMITED
1140,BIO,Capital Goods,7519542853.6,Biotechnology: Laboratory Analytical Instruments,N,"Bio-Rad Laboratories, Inc. Class A Common Stock"
1142,BIOA,Basic Industries,23921134.6626,Major Chemicals,N,BioAmber Inc.
1143,BIOC,Health Care,21099421.4939,Medical Specialities,N,"Biocept, Inc. - Common Stock"
1144,BIOL,Health Care,53719089.9,Medical/Dental Instruments,N,"Biolase, Inc."
1145,BIOS,Health Care,387647341.92,Medical/Nursing Services,N,"BioScrip, Inc. - Common Stock"
1146,BIP,Consumer Services,11949214146.04,Marine Transportation,N,Brookfield Infrastructure Partners LP
1147,BIQ,,,Software & Services,N,"BUILDINGIQ, INC"
1148,BIR,,,Not Applic,N,BIRRABONG CORPORATION LIMITED
1149,BIS,n/a,36938509.74,Materials,Y,ProShares UltraShort Nasdaq Biotechnology
1150,BIT,n/a,689291523.06,"Pharmaceuticals, Biotechnology & Life Sciences",N,BlackRock Multi-Sector Income Trust
1151,BITA,Technology,2667490869.75,EDP Services,N,Bitauto Holdings Limited
1152,BIV,,,,Y,Vanguard Intermediate-Term Bond ETF
1153,BIVV,Health Care,6743015275.2,Major Pharmaceuticals,N,Bioverativ Inc. - Common Stock 
1154,BIZD,,,,Y,VanEck Vectors BDC Income ETF
1155,BJJN,,,,N,iPathA Series B Bloomberg Nickel Subindex Total Return ETN
1156,BJK,,,,Y,VanEck Vectors Gaming ETF
1157,BJO,,,,N,iPathA Series B Bloomberg Coffee Subindex Total Return ETN
1158,BJRI,Consumer Services,784068972.0,Restaurants,N,"BJ&#39;s Restaurants, Inc."
1159,BJZ,n/a,94629841.88,n/a,N,Blackrock California Municipal 2018 Term Trust Blackrock California Municipal 2018 Term Trust
1160,BK,Finance,59280654015.17,Major Banks,N,Bank of New York Mellon Corporation (The) Common Stock
1161,BK$C,,,,N,Bank Of New York Mellon Corporation (The) Dep Shs Repstg 1/4000th Perp Pfd Ser C
1162,BKCC,n/a,450738281.84,n/a,N,BlackRock Capital Investment Corporation - Common Stock
1163,BKD,Health Care,1735301150.31,Hospital/Nursing Management,N,Brookdale Senior Living Inc.
1164,BKE,Consumer Services,974383536.0,Clothing/Shoe/Accessory Stores,N,"Buckle, Inc. (The) Common Stock"
1165,BKEP,Energy,216758187.0,Natural Gas Distribution,N,"Blueknight Energy Partners L.P., L.L.C."
1167,BKF,,,,Y,iShares MSCI BRIC Index Fund
1168,BKH,Public Utilities,2859284577.6,Electric Utilities: Central,N,Black Hills Corporation Common Stock
1169,BKHU,Public Utilities,0.0,Electric Utilities: Central,N,Black Hills Corporation Corporate Units
1170,BKI,Technology,7811621880.2,Computer Software: Prepackaged Software,N,BKI INVESTMENT COMPANY LIMITED
1171,BKJ,Finance,122373932.0,Major Banks,N,"Bancorp of New Jersey, Inc Common Stock"
1172,BKK,n/a,306382547.92,n/a,N,Blackrock Municipal 2020 Term Trust
1173,BKL,,,Household & Personal Products,N,BLACKMORES LIMITED
1174,BKLN,,,,Y,PowerShares Exchange-Traded Fund Trust ETF
1175,BKM,,,Commercial & Professional Services,N,BKM MANAGEMENT LIMITED
1176,BKMU,Finance,508400444.5,Savings Institutions,N,Bank Mutual Corporation - Common Stock
1177,BKN,n/a,250569824.22,n/a,N,BlackRock Investment Quality Municipal Trust Inc. (The)
1178,BKP,,,Energy,N,BARAKA ENERGY & RESOURCES LIMITED
1179,BKS,Consumer Services,389409037.6,Other Specialty Stores,N,"Barnes & Noble, Inc."
1180,BKSC,Finance,94705599.4479,Major Banks,N,Bank of South Carolina Corp. - Common Stock
1181,BKT,n/a,386852336.75,Materials,N,BlackRock Income Trust Inc. (The)
1182,BKU,Finance,4547348812.71,Savings Institutions,N,"BankUnited, Inc."
1183,BKW,,,Materials,N,BRICKWORKS LIMITED
1184,BKY,,,Energy,N,BERKELEY ENERGIA LIMITED
1185,BKYI,Technology,15074995.04,Computer Communications Equipment,N,"BIO-key International, Inc."
1186,BK^C,n/a,0.0,n/a,N,Bank Of New York Mellon Corporation (The)
1187,BL,Technology,1844844726.85,Computer Software: Prepackaged Software,N,"BlackLine, Inc."
1188,BLA,,,Diversified Financials,N,BLUE SKY ALTERNATIVE INVESTMENTS LIMITED
1189,BLBD,Capital Goods,450529065.6,Construction/Ag Equipment/Trucks,N,Blue Bird Corporation - Common Stock
1190,BLCM,Health Care,281007124.45,Major Pharmaceuticals,N,"Bellicum Pharmaceuticals, Inc. - Common Stock"
1191,BLCN,n/a,0.0,n/a,Y,Reality Shares Nasdaq NextGen Economy ETF
1192,BLD,Basic Industries,2715415992.0,Engineering & Construction,N,BORAL LIMITED.
1193,BLDP,Energy,715801871.34,Industrial Machinery/Components,N,"Ballard Power Systems, Inc. - Common Shares"
1194,BLDR,Consumer Services,2573932318.16,RETAIL: Building Materials,N,"Builders FirstSource, Inc. - Common Stock"
1195,BLE,n/a,333704671.8,n/a,N,BlackRock Municipal Income Trust II
1196,BLES,,,,Y,Inspire Global Hope ETF
1197,BLFS,Health Care,78940605.86,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N,"BioLife Solutions, Inc."
1198,BLG,,,Semiconductors & Semiconductor Equipment,N,BLUGLASS LIMITED
1199,BLH,n/a,53478172.16,n/a,N,Blackrock New York Municipal 2018 Term Trust
1200,BLHY,,,,Y,Virtus Newfleet Dynamic Credit
1201,BLIN,,,,N,"Bridgeline Digital, Inc. - Common Stock"
1203,BLJ,n/a,33987646.6,n/a,N,Blackrock New Jersey Municipal Bond Trust
1204,BLK,Finance,92433094138.11,Investment Bankers/Brokers/Service,N,"BlackRock, Inc. Common Stock"
1205,BLKB,Technology,4546390311.3,Computer Software: Prepackaged Software,N,"Blackbaud, Inc."
1206,BLL,Consumer Durables,13666172380.8,Containers/Packaging,N,Ball Corporation
1207,BLMN,Consumer Services,2002454870.42,Restaurants,N,"Bloomin&#39; Brands, Inc."
1208,BLMT,Finance,298729331.25,Major Banks,N,"BSB Bancorp, Inc."
1209,BLNG,,,,N,iPath Pure Beta Precious Metal ETN
1210,BLOK,,,,Y,Amplify Transformational Data Sharing ETF
1211,BLPH,Health Care,118084746.32,Major Pharmaceuticals,N,"Bellerophon Therapeutics, Inc."
1212,BLRX,Health Care,83591984.78,Major Pharmaceuticals,N,BioLineRx Ltd.
1213,BLT,,,"Pharmaceuticals, Biotechnology & Life Sciences",N,BENITEC BIOPHARMA LIMITED
1214,BLUE,Health Care,8657350000.0,Biotechnology: Biological Products (No Diagnostic Substances),N,"bluebird bio, Inc. - Common Stock"
1215,BLV,,,,Y,Vanguard Long-Term Bond ETF
1216,BLW,Finance,590951548.38,Major Banks,N,Blackrock Limited Duration Income Trust
1217,BLX,Finance,1182511442.48,Retailing,N,BEACON LIGHTING GROUP LIMITED
1218,BLY,,,Capital Goods,N,BOART LONGYEAR LIMITED
1219,BLZ,,,Energy,N,BLAZE INTERNATIONAL LIMITED
1220,BMA,Finance,7775457325.22,Commercial Banks,N,Banco Macro S.A.  ADR (representing Ten Class B Common Shares)
1221,BMCH,Consumer Services,1615601436.4,RETAIL: Building Materials,N,"BMC Stock Holdings, Inc."
1222,BME,n/a,329660932.09,n/a,N,Blackrock Health Sciences Trust
1223,BMG,,,Materials,N,BMG RESOURCES LIMITED
1224,BMH,,,Capital Goods,N,BAUMART HOLDINGS LIMITED
1225,BMI,Capital Goods,1459988464.8,Industrial Machinery/Components,N,"Badger Meter, Inc. Common Stock"
1231,BMLP,Finance,51340000.0,Commercial Banks,N,"Bank Of Montreal - BMO Elkhorn DWA MLP Select Index Exchange Traded Notes due December 10, 2036"
1237,BMN,,,Energy,N,BANNERMAN RESOURCES LIMITED
1238,BMO,Finance,53874530823.96,Commercial Banks,N,Bank Of Montreal Common Stock
1239,BMP,,,Real Estate,N,BUYMYPLACE.COM.AU LIMITED
1240,BMRA,Health Care,37211306.01,Medical/Dental Instruments,N,"Biomerica, Inc."
1241,BMRC,Finance,490142547.7,Major Banks,N,Bank of Marin Bancorp
1242,BMRN,Health Care,15742691270.28,Major Pharmaceuticals,N,BioMarin Pharmaceutical Inc.
1243,BMS,Consumer Durables,4233329892.54,Containers/Packaging,N,"Bemis Company, Inc."
1244,BMT,,,Materials,N,BERKUT MINERALS LIMITED
1245,BMTC,Finance,934132733.9,Major Banks,N,Bryn Mawr Bank Corporation - Common Stock
1246,BMY,Health Care,101229876197.6,Major Pharmaceuticals,N,Bristol-Myers Squibb Company Common Stock
1247,BMZ,,,Materials,N,BLACK MOUNTAIN RESOURCES LIMITED
1248,BNCL,Finance,1284198393.15,Savings Institutions,N,"Beneficial Bancorp, Inc."
1249,BND,,,,Y,Vanguard Total Bond Market ETF
1250,BNDC,,,,Y,FlexShares Core Select Bond Fund
1251,BNDX,n/a,8033930391.6,n/a,Y,Vanguard Total International Bond ETF
1252,BNED,Consumer Services,346227150.24,Other Specialty Stores,N,"Barnes & Noble Education, Inc Common Stock"
1253,BNFT,Technology,786521835.1,Computer Software: Prepackaged Software,N,"Benefitfocus, Inc. - Common Stock"
1254,BNJ,n/a,113995987.4003,n/a,N,BlackRock New Jersey Municipal Income Trust
1255,BNO,,,"Pharmaceuticals, Biotechnology & Life Sciences",Y,"United States Brent Oil Fund, LP ETV"
1256,BNR,,,Materials,N,BULLETIN RESOURCES LIMITED
1257,BNS,Finance,78779142985.62,Major Banks,N,Bank of Nova Scotia (The)
1258,BNSO,Capital Goods,14839956.04,Industrial Machinery/Components,N,"Bonso Electronics International, Inc."
1259,BNTC,Health Care,6909146.64,Major Pharmaceuticals,N,Benitec Biopharma Limited - American Depositary Shares
1261,BNY,n/a,180452950.08,n/a,N,BlackRock New York Municipal Income Trust
1262,BOA,,,Materials,N,BOADICEA RESOURCES LIMITED
1263,BOC,,,Materials,N,BOUGAINVILLE COPPER LIMITED
1264,BOCH,Finance,185495818.2,Major Banks,N,Bank of Commerce Holdings (CA)
1265,BOE,n/a,880692740.1,Materials,N,Blackrock Global
1266,BOFI,Finance,2071371836.88,Savings Institutions,N,"BofI Holding, Inc. - Common Stock"
1268,BOH,Finance,3685022280.25,Major Banks,N,Bank of Hawaii Corporation Common Stock
1269,BOIL,,,,Y,ProShares Ultra Bloomberg Natural Gas
1270,BOJA,Consumer Services,450391266.0,Restaurants,N,"Bojangles&#39;, Inc."
1271,BOKF,Finance,6310034170.4,Major Banks,N,BOK Financial Corporation
1273,BOL,,,Capital Goods,N,BOOM LOGISTICS LIMITED
1274,BOLD,Health Care,1125845550.18,Biotechnology: Biological Products (No Diagnostic Substances),N,"Audentes Therapeutics, Inc."
1275,BOM,,,,N,"DB Base Metals Double Short Exchange Traded Notes due June 1, 2038"
1276,BOMN,Finance,313250857.77,Real Estate,N,Boston Omaha Corporation
1277,BOND,,,,Y,PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund
1278,BOOM,Capital Goods,364802747.4,Industrial Specialties,N,DMC Global Inc.
1279,BOOT,Consumer Services,480659202.0,Clothing/Shoe/Accessory Stores,N,"Boot Barn Holdings, Inc. Common Stock"
1280,BOQ,,,Banks,N,BANK OF QUEENSLAND LIMITED.
1281,BORN,Consumer Non-Durables,38073000.0,Beverages (Production/Distribution),N,China New Borun Corporation
1282,BOS,,,,N,"DB Base Metals Short Exchange Traded Notes due June 1, 2038"
1283,BOSC,Technology,7217315.0019,Computer Communications Equipment,N,B.O.S. Better Online Solutions - Ordinary Shares
1284,BOSS,,,,Y,Global X Funds Global X Founder-Run Companies ETF
1285,BOT,,,"Pharmaceuticals, Biotechnology & Life Sciences",N,BOTANIX PHARMACEUTICALS LTD
1286,BOTJ,Finance,65789065.8052,Major Banks,N,"Bank of the James Financial Group, Inc."
1287,BOTZ,n/a,0.0,n/a,Y,Global X Robotics & Artificial Intelligence ETF
1288,BOX,Technology,3035971439.1,Computer Software: Prepackaged Software,N,"Box, Inc."
1289,BOXL,Miscellaneous,31945903.0,Industrial Machinery/Components,N,Boxlight Corporation
1290,BP,Energy,141918638151.04,Integrated oil Companies,N,BP p.l.c. Common Stock
1291,BPB,,,Not Applic,N,BP CAPITAL MARKETS PLC
1292,BPF,,,Software & Services,N,BULLETPROOF GROUP LIMITED
1293,BPFH,Finance,1331000216.0,Major Banks,N,"Boston Private Financial Holdings, Inc."
1296,BPG,,,Retailing,N,BYTE POWER GROUP LIMITED
1297,BPH,,,"Pharmaceuticals, Biotechnology & Life Sciences",N,BPH ENERGY LTD
1298,BPI,Consumer Services,240041886.45,Other Consumer Services,N,"Bridgepoint Education, Inc."
1299,BPK,n/a,236711456.64,n/a,N,Blackrock Municipal 2018 Term Trust Blackrock Municipal 2018 Term Trust
1300,BPL,Energy,7973038140.27,Natural Gas Distribution,N,Buckeye Partners L.P.
1301,BPMC,Health Care,3277938657.78,Major Pharmaceuticals,N,Blueprint Medicines Corporation - Common Stock
1302,BPMP,Energy,2304523540.0,Natural Gas Distribution,N,BP Midstream Partners LP
1303,BPMX,Health Care,17723742.382,Major Pharmaceuticals,N,BioPharmX Corporation. Common
1304,BPOP,Finance,3928278853.74,Major Banks,N,"Popular, Inc."
1307,BPP,,,Capital Goods,N,BABYLON PUMP & POWER LIMITED
1308,BPRN,n/a,0.0,n/a,N,The Bank of Princeton - Common Stock
1309,BPS,,,Software & Services,N,BPS TECHNOLOGY LIMITED
1310,BPT,Energy,564960000.0,Energy,N,BEACH ENERGY LIMITED
1311,BPTH,Health Care,23823306.231999997,Major Pharmaceuticals,N,"Bio-Path Holdings, Inc."
1312,BPY,Finance,5506663564.8,Real Estate,N,Brookfield Property Partners L.P.
1313,BQH,n/a,39677487.85,n/a,N,Blackrock New York Municipal Bond Trust Common Shares of Beneficial Interest
1314,BR,Miscellaneous,11093466664.46,Business Services,N,"Broadridge Financial Solutions, Inc."
1315,BRAC,Finance,171110650.0,Business Services,N,Black Ridge Acquisition Corp.
1319,BRB,,,Materials,N,BREAKER RESOURCES NL
1320,BRC,Consumer Durables,2008236254.05,Health Care Equipment & Services,N,BRAIN RESOURCE LIMITED
1321,BREW,Consumer Non-Durables,382071115.8,Beverages (Production/Distribution),N,"Craft Brew Alliance, Inc."
1322,BRF,,,,Y,VanEck Vectors Brazil Small-Cap ETF
1323,BRFS,Consumer Non-Durables,9822899889.95,Meat/Poultry/Fish,N,BRF S.A.
1324,BRG,Consumer Services,$220.78M,Real Estate Investment Trusts,N,"Bluerock Residential Growth REIT, Inc. Class A Common Stock"
1328,BRGL,,,,Y,Bernstein Global Research Fund
1332,BRI,,,Materials,N,BIG RIVER INDUSTRIES LIMITED
1333,BRID,Consumer Non-Durables,143271439.3376,Specialty Foods,N,Bridgford Foods Corporation
1334,BRK,,,Energy,N,BROOKSIDE ENERGY LIMITED
1337,BRKL,Finance,1253266282.2,Savings Institutions,N,"Brookline Bancorp, Inc."
1338,BRKR,Capital Goods,5323354225.2,Biotechnology: Laboratory Analytical Instruments,N,Bruker Corporation
1339,BRKS,Technology,1908570561.8,Industrial Machinery/Components,N,"Brooks Automation, Inc."
1340,BRL,,,Materials,N,BATHURST RESOURCES LIMITED.
1341,BRN,Energy,18789980.915999997,Software & Services,N,"Barnwell Industries, Inc."
1342,BRO,Finance,7329845231.5,Specialty Insurers,N,"Brown & Brown, Inc. Common Stock"
1343,BRPA,Finance,0.0,Business Services,N,Big Rock Partners Acquisition Corp.
1347,BRQS,Technology,201770372.35,EDP Services,N,"Borqs Technologies, Inc.  - Ordinary Shares"
1348,BRS,Transportation,558066296.04,Transportation Services,N,Bristow Group Inc
1349,BRSS,Capital Goods,734872221.6,Metal Fabrications,N,"Global Brass and Copper Holdings, Inc. Common Stock"
1350,BRT,Consumer Services,186498425.4,Real Estate Investment Trusts,N,BRT Apartments Corp. (MD) Common Stock
1351,BRU,,,Energy,N,BURU ENERGY LIMITED
1352,BRX,Consumer Services,5119894647.76,Real Estate Investment Trusts,N,Brixmor Property Group Inc.
1353,BRZU,,,,Y,Direxion Daily Brazil Bull 3X Shares
1354,BSA,,,Commercial & Professional Services,N,BSA LIMITED
1355,BSAC,Finance,16215789176.72,Commercial Banks,N,Banco Santander Chile
1356,BSBR,Finance,75841708386.22,Commercial Banks,N,Banco Santander Brasil SA
1357,BSCI,,,,Y,Guggenheim BulletShares 2018 Corporate Bond ETF
1358,BSCJ,,,,Y,Guggenheim BulletShares 2019 Corporate Bond ETF
1359,BSCK,,,,Y,Guggenheim BulletShares 2020 Corporate Bond ETF
1360,BSCL,,,,Y,Guggenheim BulletShares 2021 Corporate Bond ETF
1361,BSCM,,,,Y,Guggenheim BulletShares 2022 Corporate Bond ETF
1362,BSCN,,,,Y,Guggenheim BulletShares 2023 Corporate Bond ETF
1363,BSCO,,,,Y,Guggenheim BulletShares 2024 Corporate Bond ETF
1364,BSCP,,,,Y,Guggenheim BulletShares 2025 Corporate Bond ETF
1365,BSCQ,,,,Y,Claymore Exchange-Traded Fund Trust ETF
1366,BSCR,,,,Y,Guggenheim BulletShares 2027 Corporate Bond ETF
1367,BSD,n/a,100170839.97,n/a,N,BlackRock Strategic Municipal Trust Inc. (The) Common Stock
1368,BSE,n/a,85668332.4,Materials,N,BASE RESOURCES LIMITED
1369,BSET,Consumer Durables,390765284.0,Home Furnishings,N,"Bassett Furniture Industries, Incorporated - Common Stock"
1370,BSF,Finance,387108127.62,Major Banks,N,"Bear State Financial, Inc."
1371,BSFT,Technology,1739133760.7,Computer Software: Prepackaged Software,N,"BroadSoft, Inc. - Common Stock"
1372,BSJI,,,,Y,Guggenheim BulletShares 2018 High Yield Corporate Bond ETF
1373,BSJJ,,,,Y,Guggenheim BulletShares 2019 High Yield Corporate Bond ETF
1374,BSJK,,,,Y,Guggenheim BulletShares 2020 High Yield Corporate Bond ETF
1375,BSJL,,,,Y,Guggenheim BulletShares 2021 High Yield Corporate Bond ETF
1376,BSJM,,,,Y,Guggenheim BulletShares 2022 High Yield Corporate Bond ETF
1377,BSJN,,,,Y,Guggenheim BulletShares 2023 High Yield Corporate Bond ETF
1378,BSJO,,,,Y,Guggenheim BulletShares 2024 High Yield Corporate Bond ETF
1379,BSJP,,,,Y,Claymore Exchange-Traded Fund Trust ETF
1380,BSL,n/a,270473186.5,Materials,N,BLUESCOPE STEEL LIMITED
1381,BSM,Energy,3713331184.88,Oil & Gas Production,N,BASS METALS LTD
1382,BSMX,Finance,10451971229.7,Commercial Banks,N,Grupo Financiero Santander Mexico S.A. B. de C.V.
1383,BSN,,,Diversified Financials,N,BISAN LIMITED
1384,BSP,,,Energy,N,BLACK STAR PETROLEUM LIMITED
1385,BSPM,Health Care,5405971.6812,Major Pharmaceuticals,N,"Biostar Pharmaceuticals, Inc."
1386,BSQR,Miscellaneous,55335155.442,Business Services,N,BSQUARE Corporation
1387,BSR,,,Materials,N,BASSARI RESOURCES LIMITED
1388,BSRR,Finance,425668157.8,Major Banks,N,Sierra Bancorp - Common Stock
1389,BST,n/a,640935596.25,Not Applic,N,BARRACK ST INVESTMENTS LIMITED
