Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote
CSFL,CenterState Bank Corporation,26.27,$2.16B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/csfl
CETV,Central European Media Enterprises Ltd.,4.7,$681.33M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cetv
CFBK,Central Federal Corporation,2.6062,$60.3M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbk
CENT,Central Garden & Pet Company,37.59,$1.95B,1993,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cent
CENTA,Central Garden & Pet Company,36.59,$1.9B,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/centa
CVCY,Central Valley Community Bancorp,20.91,$283.98M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvcy
CENX,Century Aluminum Company,21.81,$1.9B,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx
CNBKA,"Century Bancorp, Inc.",80.9,$450.44M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/cnbka
CNTY,"Century Casinos, Inc.",9.65,$283.32M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cnty
CVO,Cenveo Inc,1.47,$12.62M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cvo
CRNT,Ceragon Networks Ltd.,2.16,$168.36M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt
CERC,Cerecor Inc.,2.66,$69.31M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cerc
CERCW,Cerecor Inc.,0.22,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cercw
CERN,Cerner Corporation,70.28,$23.36B,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
CERS,Cerus Corporation,4.16,$480.71M,1997,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cers
KOOL,Cesca Therapeutics Inc.,3.03,$32.92M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kool
CEVA,"CEVA, Inc.",46.75,$1.03B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva
CSBR,"Champions Oncology, Inc.",3.97,$43.62M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/csbr
CYOU,Changyou.com Limited,36.42,$1.91B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
BURG,"Chanticleer Holdings, Inc.",3.14,$9.5M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/burg
CTHR,Charles & Colvard Ltd.,1.35,$29.15M,1997,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cthr
GTLS,"Chart Industries, Inc.",53.1,$1.63B,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls
CHTR,"Charter Communications, Inc.",357.84,$89.41B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr
CHFN,Charter Financial Corp.,18.35,$277.68M,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chfn
CHKP,Check Point Software Technologies Ltd.,103.57,$17.19B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
CHEK,Check-Cap Ltd.,0.8996,$17.33M,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chek
CHEKW,Check-Cap Ltd.,0.293,n/a,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chekw
CKPT,"Checkpoint Therapeutics, Inc.",3.82,$97.44M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ckpt
CEMI,"Chembio Diagnostics, Inc.",8.75,$107.79M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemi
CHFC,Chemical Financial Corporation,55.97,$3.98B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc
CCXI,"ChemoCentryx, Inc.",8.34,$406.71M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ccxi
CHMG,Chemung Financial Corp,50.1,$237.49M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chmg
CHKE,Cherokee Inc.,1.775,$24.76M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/chke
CHFS,"CHF Solutions, Inc.",3.55,$6.39M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/chfs
CHMA,"Chiasma, Inc.",1.5,$36.57M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/chma
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",10.7,$124.16M,2017,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/csse
PLCE,"Children&#39;s Place, Inc. (The)",154.65,$2.69B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce
CMRX,"Chimerix, Inc.",4.93,$232.34M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmrx
CADC,"China Advanced Construction Materials Group, Inc.",4.264,$10.18M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc
CALI,China Auto Logistics Inc.,3.97,$19.22M,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali
CAAS,"China Automotive Systems, Inc.",4.78,$151.26M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas
CBPO,"China Biologic Products Holdings, Inc.",81.91,$2.26B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo
CCCL,"China Ceramics Co., Ltd.",2.2,$7.02M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl
CCCR,"China Commercial Credit, Inc.",1.65,$32.09M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/cccr
CCRC,"China Customer Relations Centers, Inc.",20.82,$381.62M,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ccrc
JRJC,China Finance Online Co. Limited,2.76,$65.19M,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jrjc
HGSH,"China HGS Real Estate, Inc.",1.7601,$79.29M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh
CNIT,"China Information Technology, Inc.",2.79,$112.24M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CIFS,China Internet Nationwide Financial Services Inc.,37.17,$818.6M,2017,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/cifs
CJJD,"China Jo-Jo Drugstores, Inc.",1.47,$37.07M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cjjd
CLDC,China Lending Corporation,2.58,$61.3M,2014,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/cldc
HTHT,"China Lodging Group, Limited",148.92,$10.58B,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht
CHNR,"China Natural Resources, Inc.",3.2,$79.71M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr
CREG,China Recycling Energy Corporation,3,$24.93M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/creg
CNTF,China TechFaith Wireless Communication Technology Limited,2.52,$26.68M,2005,n/a,n/a,http://www.nasdaq.com/symbol/cntf
CXDC,China XD Plastics Company Limited,4.55,$226.26M,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cxdc
CCIH,ChinaCache International Holdings Ltd.,2.29,$58.59M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",3.98,$49.12M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES INC.,18.35,$785.57M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
CDXC,ChromaDex Corporation,5.68,$305.8M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cdxc
CHSCL,CHS Inc,27.98,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscl
CHSCM,CHS Inc,26.88,$510.72M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscm
CHSCN,CHS Inc,27.7207,$465.71M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscn
CHSCO,CHS Inc,29.33,$331.99M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chsco
CHSCP,CHS Inc,30.61,$221.38M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscp
CHDN,"Churchill Downs, Incorporated",252.2,$3.9B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn
CHUY,"Chuy&#39;s Holdings, Inc.",26.7,$451.6M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy
CDTX,"Cidara Therapeutics, Inc.",7.2,$145.71M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cdtx
CMCT,CIM Commercial Trust Corporation,17.95,$785.94M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmct
CMCTP,CIM Commercial Trust Corporation,n/a,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmctp
CMPR,Cimpress N.V,128.09,$3.98B,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/cmpr
CINF,Cincinnati Financial Corporation,75.06,$12.32B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
CIDM,Cinedigm Corp,1.37,$47.71M,n/a,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/cidm
CTAS,Cintas Corporation,162.67,$17.32B,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas
CRUS,"Cirrus Logic, Inc.",53.99,$3.44B,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",41.2,$203.68B,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CTRN,"Citi Trends, Inc.",24.69,$339.24M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn
CTXR,"Citius Pharmaceuticals, Inc.",4.09,$40.8M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctxr
CTXRW,"Citius Pharmaceuticals, Inc.",0.71,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctxrw
CZNC,Citizens & Northern Corp,25.28,$308.38M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc
CZWI,"Citizens Community Bancorp, Inc.",13.6,$80.02M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi
CZFC,Citizens First Corporation,23.79,$60.1M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc
CIZN,Citizens Holding Company,22,$107.68M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn
CTXS,"Citrix Systems, Inc.",91.19,$13.74B,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
CHCO,City Holding Company,69.45,$1.08B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco
CIVB,"Civista Bancshares, Inc. ",22.54,$229.25M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civb
CIVBP,"Civista Bancshares, Inc. ",71.94,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civbp
CLAR,Clarus Corporation,7.05,$211.79M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/clar
CDTI,"Clean Diesel Technologies, Inc.",1.45,$22.91M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti
CLNE,Clean Energy Fuels Corp.,2.07,$312.75M,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne
CACG,ClearBridge All Cap Growth ETF,29.53,$57.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cacg
YLDE,ClearBridge Dividend Strategy ESG ETF,28.695,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ylde
LRGE,ClearBridge Large Cap Growth ESG ETF,30.778,$3.08M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lrge
CLFD,"Clearfield, Inc.",12.6,$174.01M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clfd
CLRO,"ClearOne, Inc.",8.1,$68.15M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clro
CLSD,"Clearside Biomedical, Inc.",6.14,$155.6M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsd
CLIR,ClearSign Combustion Corporation,2.3,$35.89M,2012,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clir
CLIRW,ClearSign Combustion Corporation,0.6454,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clirw
CMTA,Clementia Pharmaceuticals Inc.,16.61,$526.83M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmta
CBLI,"Cleveland BioLabs, Inc.",3.79,$42.75M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cbli
CSBK,Clifton Bancorp Inc.,16.82,$371.13M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/csbk
CLVS,"Clovis Oncology, Inc.",54.93,$2.77B,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clvs
CMFN,CM Finance Inc,8.425,$115.34M,2014,n/a,n/a,http://www.nasdaq.com/symbol/cmfn
CMSS,CM Seven Star Acquisition Corporation,9.65,$254.02M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cmss
CMSSR,CM Seven Star Acquisition Corporation,0.26,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cmssr
CMSSU,CM Seven Star Acquisition Corporation,10,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cmssu
CMSSW,CM Seven Star Acquisition Corporation,0.24,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cmssw
CME,CME Group Inc.,151.45,$51.54B,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
CCNE,CNB Financial Corporation,28.38,$433.75M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccne
CWAY,"Coastway Bancorp, Inc.",21.8,$95.76M,2014,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cway
COBZ,CoBiz Financial Inc.,21.31,$899.99M,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/cobz
COKE,Coca-Cola Bottling Co. Consolidated,204.25,$1.91B,1972,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/coke
CODA,"Coda Octopus Group, Inc.",4.67,$42.6M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/coda
CDXS,"Codexis, Inc.",8.6,$415.78M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cdxs
CODX,"Co-Diagnostics, Inc.",2.93,$35.99M,2017,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/codx
CVLY,"Codorus Valley Bancorp, Inc",28.88,$256.58M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cvly
JVA,"Coffee Holding Co., Inc.",4.4432,$26.04M,2005,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/jva
CCOI,"Cogent Communications Holdings, Inc.",45.4,$2.09B,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/ccoi
CGNT,"Cogentix Medical, Inc.",2.82,$171.75M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cgnt
COGT,"Cogint, Inc.",4.45,$291.6M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cogt
CGNX,Cognex Corporation,68.39,$11.84B,1989,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cgnx
CTSH,Cognizant Technology Solutions Corporation,75.84,$44.72B,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
CWBR,"CohBar, Inc.",6,$237.12M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cwbr
COHR,"Coherent, Inc.",321.91,$7.99B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cohr
CHRS,"Coherus BioSciences, Inc.",12.075,$709.06M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/chrs
COHU,"Cohu, Inc.",24.52,$693.62M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cohu
CLCT,"Collectors Universe, Inc.",28.61,$255.23M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/clct
COLL,"Collegium Pharmaceutical, Inc.",20.98,$683.16M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/coll
CIGI,Colliers International Group Inc. ,62.6,$2.35B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cigi
CBAN,"Colony Bankcorp, Inc.",14.45,$121.95M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cban
COLB,"Columbia Banking System, Inc.",45.94,$3.35B,1992,Finance,Major Banks,http://www.nasdaq.com/symbol/colb
COLM,Columbia Sportswear Company,73.05,$5.1B,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/colm
CMCO,Columbus McKinnon Corporation,42.82,$984.79M,1996,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cmco
CMCSA,Comcast Corporation,41.68,$194.8B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa
CBSH,"Commerce Bancshares, Inc.",58.16,$6.52B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbsh
CBSHP,"Commerce Bancshares, Inc.",26.3367,$2.41B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbshp
CHUBA,"CommerceHub, Inc.",21.4,$926.98M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chuba
CHUBK,"CommerceHub, Inc.",20.03,$867.64M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chubk
CVGI,"Commercial Vehicle Group, Inc.",12.79,$392.12M,2004,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cvgi
COMM,"CommScope Holding Company, Inc.",38.7,$7.38B,2013,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm
JCS,"Communications Systems, Inc.",3.56,$31.93M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
ESXB,Community Bankers Trust Corporation.,8.25,$181.89M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esxb
CFBI,"Community First Bancshares, Inc.",11.3748,$85.75M,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbi
CYHHZ,"Community Health Systems, Inc.",0.0079,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyhhz
CTBI,"Community Trust Bancorp, Inc.",49.35,$873.14M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
CWBC,Community West Bancshares,10.85,$88.74M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cwbc
CVLT,"Commvault Systems, Inc.",52.65,$2.43B,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CGEN,Compugen Ltd.,2.75,$140.61M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cgen
CPSI,"Computer Programs and Systems, Inc.",29.95,$412M,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",5.12,$79.32M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
CHCI,"Comstock Holding Companies, Inc.",1.7,$6.07M,2004,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci
CMTL,Comtech Telecommunications Corp.,21.69,$512.05M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CNAT,Conatus Pharmaceuticals Inc.,4.76,$142.83M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat
CNCE,"Concert Pharmaceuticals, Inc.",19.94,$454.09M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce
CXRX,Concordia International Corp.,0.7,$35.9M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cxrx
CDOR,"Condor Hospitality Trust, Inc.",10.52,$122.87M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CFMS,"ConforMIS, Inc.",2.43,$110.06M,2015,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/cfms
CNFR,"Conifer Holdings, Inc.",6.2,$52.81M,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cnfr
CNMD,CONMED Corporation,56.01,$1.56B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd
CTWS,"Connecticut Water Service, Inc.",52.78,$636.96M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
CNOB,"ConnectOne Bancorp, Inc.",29.05,$930.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cnob
CONN,"Conn&#39;s, Inc.",35.3,$1.11B,2003,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn
CNSL,"Consolidated Communications Holdings, Inc.",12.47,$883.33M,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl
CWCO,Consolidated Water Co. Ltd.,13,$193.72M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwco
CNAC,Constellation Alpha Capital Corp.,9.77,$181.04M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnac
CNACR,Constellation Alpha Capital Corp.,0.4399,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnacr
CNACU,Constellation Alpha Capital Corp.,10.3297,$191.41M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnacu
CNACW,Constellation Alpha Capital Corp.,0.26,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnacw
CPSS,"Consumer Portfolio Services, Inc.",4.09,$89.06M,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss
CFRX,ContraFect Corporation,1.12,$82.49M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrx
CTRV,ContraVir Pharmaceuticals Inc,0.3101,$24.27M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctrv
CTRL,Control4 Corporation,33.11,$836.57M,2013,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl
CPRT,"Copart, Inc.",44.33,$10.25B,1994,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",8.2,$455.68M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crbp
CORT,Corcept Therapeutics Incorporated,22.19,$2.53B,1982,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort
CORE,"Core-Mark Holding Company, Inc.",24.72,$1.14B,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core
CORI,"Corium International, Inc.",12.31,$444.61M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cori
CSOD,"Cornerstone OnDemand, Inc.",39.28,$2.27B,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CRVL,CorVel Corp.,50.4,$949.67M,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl
CRVS,"Corvus Pharmaceuticals, Inc.",9.99,$210.2M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crvs
CSGP,"CoStar Group, Inc.",321.96,$11.64B,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp
COST,Costco Wholesale Corporation,192.29,$84.44B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost
CPAH,CounterPath Corporation,4.94,$27.16M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah
ICBK,"County Bancorp, Inc.",30.73,$205.07M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/icbk
COUP,Coupa Software Incorporated,36.01,$1.98B,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/coup
CVTI,"Covenant Transportation Group, Inc.",27.86,$509.57M,1994,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cvti
COWN,Cowen Inc.,14.25,$443M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cown
COWNZ,Cowen Inc.,25.28,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cownz
PMTS,CPI Card Group Inc.,3.36,$37.41M,2015,Finance,Finance Companies,http://www.nasdaq.com/symbol/pmts
CPSH,CPS Technologies Corp.,1.8,$23.77M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpsh
CRAI,"CRA International,Inc.",47.9,$388.43M,1998,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/crai
CBRL,"Cracker Barrel Old Country Store, Inc.",169.32,$4.06B,1981,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cbrl
BREW,"Craft Brew Alliance, Inc.",19.8,$382.07M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/brew
CRAY,Cray Inc,25.35,$1.03B,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CACC,Credit Acceptance Corporation,338.29,$6.53B,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc
CREE,"Cree, Inc.",36.6,$3.59B,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CRESY,Cresud S.A.C.I.F. y A.,20.93,$1.04B,1997,Finance,Real Estate,http://www.nasdaq.com/symbol/cresy
CRSP,CRISPR Therapeutics AG,28.34,$1.16B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/crsp
CRTO,Criteo S.A.,25.77,$1.7B,2013,Technology,Advertising,http://www.nasdaq.com/symbol/crto
CROX,"Crocs, Inc.",13.69,$953.75M,2006,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox
CCRN,"Cross Country Healthcare, Inc.",12.94,$472.06M,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
CRWS,"Crown Crafts, Inc.",7.3,$73.63M,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws
CYRX,"CryoPort, Inc.",8.26,$218.11M,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/cyrx
CYRXW,"CryoPort, Inc.",5.14,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/cyrxw
